SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
369,29.01.20,California,US,29.01.20 19:30,2,0,0
370,29.01.20,Arizona,US,29.01.20 19:30,1,0,0
371,29.01.20,,Japan,29.01.20 19:30,7,0,1
372,29.01.20,,Thailand,29.01.20 19:30,14,0,6
373,29.01.20,,South Korea,29.01.20 19:30,4,0,0
374,29.01.20,,Singapore,29.01.20 19:30,7,0,0
375,29.01.20,,Vietnam,29.01.20 19:30,2,0,0
376,29.01.20,,France,29.01.20 19:30,5,0,0
377,29.01.20,,Nepal,29.01.20 19:30,1,0,0
378,29.01.20,,Malaysia,29.01.20 19:30,7,0,0
379,29.01.20,Ontario,Canada,29.01.20 19:30,1,0,0
380,29.01.20,British Columbia,Canada,29.01.20 19:30,1,0,0
381,29.01.20,,Cambodia,29.01.20 19:30,1,0,0
382,29.01.20,,Sri Lanka,29.01.20 19:30,1,0,0
383,29.01.20,New South Wales,Australia,29.01.20 19:30,4,0,0
384,29.01.20,Victoria,Australia,29.01.20 19:30,1,0,0
385,29.01.20,Bavaria,Germany,29.01.20 19:30,4,0,0
386,29.01.20,,Finland,29.01.20 19:30,1,0,0
387,29.01.20,,United Arab Emirates,29.01.20 19:30,4,0,0
388,29.01.20,Unknown,China,29.01.20 19:30,0,0,0
389,29.01.20,,Kiribati,29.01.20 19:30,0,0,0
390,30.01.20,Hubei,Mainland China,30.01.20 16:00,4903,162,90
391,30.01.20,Zhejiang,Mainland China,30.01.20 16:00,428,0,4
392,30.01.20,Guangdong,Mainland China,30.01.20 16:00,354,0,10
393,30.01.20,Henan,Mainland China,30.01.20 16:00,278,2,2
394,30.01.20,Hunan,Mainland China,30.01.20 16:00,277,0,2
395,30.01.20,Anhui,Mainland China,30.01.20 16:00,200,0,2
396,30.01.20,Chongqing,Mainland China,30.01.20 16:00,182,0,1
397,30.01.20,Jiangxi,Mainland China,30.01.20 16:00,162,0,5
398,30.01.20,Shandong,Mainland China,30.01.20 16:00,158,0,1
399,30.01.20,Sichuan,Mainland China,30.01.20 16:00,142,1,1
400,30.01.20,Jiangsu,Mainland China,30.01.20 16:00,129,0,1
401,30.01.20,Beijing,Mainland China,30.01.20 16:00,114,1,4
402,30.01.20,Shanghai,Mainland China,30.01.20 16:00,112,1,5
403,30.01.20,Fujian,Mainland China,30.01.20 16:00,101,0,0
